MSOA_code,LowFruit ,LowFruitLCI,LowFruitUCI,LowVeg,LowVegLCI,LowVegUCI,LowFV,LowFVLCI,LowFVUCI,HighSSB,HighSSBLCI,HighSSBUCI
E02003373,51.87099885,46.23,58,15.68814373,10.1,24.36,6.027764857,2.73,13.08,10.5227196,4.89,21.23
E02003374,52.57015306,46.92,58.68,16.13933649,10.41,24.98,6.240792043,2.83,13.5,11.49903,5.38,22.95
E02003375,53.21594717,47.57,59.31,16.70284418,10.8,25.76,6.57225784,2.98,14.16,10.4126979,4.84,21.04
E02003376,52.17285651,46.53,58.3,16.37889461,10.57,25.31,6.34256347,2.88,13.7,9.8688776,4.57,20.06
E02003377,51.32496032,45.68,57.47,15.63878614,10.06,24.29,5.968930662,2.7,12.96,10.3058191,4.78,20.85
E02003378,53.87181322,48.23,59.94,17.57354877,11.4,26.95,7.008344064,3.19,15.02,10.0084082,4.64,20.31
E02003379,56.27966695,50.66,62.26,18.10165962,11.77,27.66,7.31536592,3.33,15.62,12.4267329,5.84,24.54
E02003380,51.91912797,46.28,58.05,15.57289739,10.02,24.19,5.922904679,2.68,12.86,11.3630956,5.31,22.71
E02003381,51.58148165,45.94,57.72,15.38753501,9.89,23.94,5.861596932,2.65,12.74,10.0408969,4.65,20.37
E02003382,56.22178155,50.6,62.2,18.43226208,12,28.11,7.545192141,3.44,16.06,11.7747615,5.51,23.42
E02003383,51.06996681,45.43,57.22,14.87205396,9.54,23.21,5.559899759,2.51,12.13,10.8131305,5.04,21.75
E02003384,50.9488951,45.31,57.1,15.69949788,10.11,24.37,6.05277429,2.74,13.13,8.9893491,4.14,18.46
E02003385,57.17236683,51.57,63.11,18.43084089,12,28.11,7.385011044,3.37,15.75,12.9841912,6.13,25.48
E02003386,55.14364232,49.51,61.17,17.76979382,11.54,27.22,7.125769178,3.24,15.25,11.0843167,5.17,22.22
E02003387,49.9823158,44.36,56.15,14.71741029,9.43,22.99,5.46550526,2.46,11.94,9.5966348,4.44,19.57
E02003388,51.747978,46.11,57.88,16.00118107,10.31,24.79,6.202892922,2.81,13.43,9.5232579,4.4,19.44
E02003389,48.98309114,43.37,55.16,14.17827812,9.07,22.23,5.134713496,2.31,11.26,9.6567142,4.47,19.68
E02003390,47.02709385,41.46,53.22,13.18576019,8.4,20.81,4.606630853,2.07,10.17,8.246328,3.78,17.08
E02003391,50.24873317,44.62,56.41,14.87628463,9.54,23.22,5.538338005,2.5,12.09,9.5477358,4.41,19.48
E02003392,57.50430221,51.91,63.42,18.66928083,12.17,28.43,7.530442487,3.44,16.04,12.7456036,6,25.08
E02003393,49.38337306,43.76,55.56,14.36952391,9.2,22.5,5.22110237,2.35,11.44,10.3482827,4.81,20.92
E02003394,58.20974756,52.63,64.09,19.52250999,12.77,29.57,8.093394079,3.71,17.12,12.5311748,5.9,24.72
E02003395,58.1854563,52.61,64.07,18.04983743,11.74,27.59,7.256159667,3.31,15.5,14.8501747,7.09,28.56
E02003396,55.90099897,50.28,61.89,17.30447242,11.21,26.58,6.851567541,3.11,14.71,13.0841679,6.18,25.65
E02003397,53.82664147,48.18,59.9,17.35860497,11.25,26.66,6.921763857,3.15,14.85,10.887603,5.07,21.88
E02003398,60.85291627,55.36,66.58,19.91079062,13.05,30.08,8.271769443,3.79,17.46,15.6307573,7.5,29.81
E02003399,62.94545428,57.54,68.52,20.91581282,13.77,31.4,8.706088037,4,18.28,16.9575913,8.2,31.88
E02003400,61.03636671,55.55,66.75,20.04091585,13.14,30.25,8.27319709,3.79,17.46,17.799551,8.65,33.17
E02003401,57.25375214,51.65,63.18,18.54368921,12.08,28.26,7.461523111,3.4,15.9,12.5431381,5.9,24.74
E02003402,61.53538293,56.07,67.21,20.28383105,13.31,30.57,8.382571329,3.85,17.67,17.2772769,8.37,32.37
E02003403,55.79396177,50.17,61.79,18.61921145,12.13,28.36,7.609208012,3.47,16.19,10.9117783,5.08,21.92
E02003404,67.82806088,62.71,72.98,25.13024068,16.85,36.74,11.35342886,5.3,23.1,21.482706,10.69,38.54
E02003405,63.12650635,57.73,68.69,22.37093096,14.82,33.27,9.686944285,4.48,20.1,14.3433733,6.82,27.74
