MSOA11CD,Asian,Black,Mixed,White,Other,Female,Popudensity,Age17_29,Age30_39,Age40_49,Age50_59,Age60_69,Age70_79,Age80,Childrenemerg,Alcohol,HighSSB,COPDprev,OBprev,IMDdecile,DMprev
E02006010,0.4966748042764543,0.1262732553245222,-0.10452839383954193,98.26584729354325,-1.5584814034332477,52.34519993251223,0.7701476584202158,2.2946236720988797,10.190652944153872,10.70524717394972,16.256116078960687,15.63185422642146,13.700016871941962,6.310106293234351,5.080161356744866,4.396915247167632,2.183754641489149,1.77,12.44,6,7.15
E02006011,0.512548603746907,0.2474372569812654,-0.2289930761031014,98.30328738069989,-1.9562140241935855,52.20204925399964,11.501728199449593,2.4158238947002513,9.239618910659717,10.947330577026785,15.639043681466836,13.176343699442748,13.805500629156931,10.533884594643178,4.605170185988092,4.52720864451838,2.196545535728531,2.18,10.18,8,7.72
E02006012,1.146455675762958,0.1937671564669788,-0.06556170440355023,97.46487970289036,-1.3534159927101883,50.52512522216836,10.601518458469736,2.320361203634308,9.613830990466958,10.227823557925351,17.046372596542252,14.897398610437874,15.689125868476328,8.870576829859427,4.9849755473156785,4.6061696863211745,2.162868393595408,2.21,10.3,6,7.84
E02006013,0.9522600304723208,0.3174200101574403,-0.0759458126225334,97.56221432199088,-1.4219662746044845,50.4194315763115,0.4924120931366912,2.3301227965231304,7.900338049330162,10.880180292976084,18.07937899086015,15.687992988606489,14.636283961437336,8.038061850507074,5.0132984115157395,4.3294166844015844,2.0930906177927766,1.93,9.11,5,7.89
E02006014,0.5852083543537483,0.1210775905559479,-0.42184307452298,98.3957219251337,-1.4181765140706717,50.490050490050486,0.5027137863187691,2.4648069780814974,8.83080883080883,8.652608652608652,16.473616473616474,16.384516384516385,14.929214929214927,7.830907830907831,4.955122584165997,4.423648309364701,2.179596851226903,2.06,12.98,5,7.88
E02006015,0.995858804969434,0.2859396568724117,-0.13063394063473321,97.48570301715638,-1.0357513719107632,50.79160894518108,4.246520466725794,2.5365544561687767,10.904413219869385,11.221056797941817,15.80249356817732,13.585988521670297,11.45853948149614,7.05521472392638,5.1951766076285235,4.535820107853298,2.3510397056342645,2.41,14.6,5,8.02
E02006016,0.39273441335297,0.159548355424644,0.07697922311960134,98.09769268532156,-1.3093151380002892,51.41133896260555,0.5168391279030362,2.3508581495073804,9.91556091676719,10.28950542822678,17.659831121833534,15.48854041013269,14.185765983112184,6.658624849215923,4.9082333604781745,4.405498990859024,2.1573828545074503,2.03,13.55,5,7.63
E02006017,0.7188894397620228,0.1983143282102131,-0.23160762972633928,98.01685671789788,-1.2994482597276953,50.23416317475967,0.764074820450942,2.371167067487091,10.155287157998522,10.266206556568894,15.812176485087504,15.220606359378852,12.533892038452056,8.935173773724427,4.360547602996758,4.365643155423357,2.2835115948186124,2.28,13.71,6,7.65
E02006018,0.8577555396711937,0.357398141529664,0.07708751972244278,97.42673338098642,-1.2802193045241956,50.45878816642936,27.39607026299121,2.600536983618536,10.749881347887992,12.371460211991774,14.159152032906183,11.1374782471128,11.904761904761903,7.087486157253599,5.326904823399949,4.616110126026426,2.3563027826589504,1.72,10.05,5,7.85
E02006019,0.7323674574112402,0.2547365069256488,-0.04576973424418885,97.81881865944914,-1.4320640953640795,50.731552162849866,17.114039476100146,2.686401086381901,9.462468193384224,11.450381679389311,13.088422391857508,13.056615776081426,12.96119592875318,8.69910941475827,5.43851399704132,4.774912960575186,2.3275661030182695,1.99,13.64,6,7.9
E02006020,1.897998708844416,1.2395093608779857,0.5407165613588761,94.53841187863138,-0.499484965152819,44.72893533638145,0.6926227487992612,2.727669241494025,13.442194644023514,11.01241018941868,15.937295885042454,13.72958850424559,9.562377531025474,4.702808621815806,5.0401940963378005,4.449685283147696,2.572023767020267,1.75,11.76,5,8.06
E02006021,0.5132884681190829,0.239534618455572,-0.10413191313347264,98.22059997718718,-2.0756844928021243,50.30323835679139,0.5366687898561917,2.3583312120022315,9.394667582103216,10.699164664149215,18.51470419956517,15.997253690353588,11.912118091314795,5.137887630163634,5.318610069815799,4.511957804265912,2.264879996313646,1.75,11.77,6,7.03
E02006022,0.9074410163339384,0.0824946378485398,0.14403534608616556,97.57465764725292,-1.271246551906978,50.39024390243903,0.5740873397243784,2.625022011498875,11.121951219512196,11.869918699186991,15.21951219512195,13.83739837398374,11.447154471544716,5.609756097560976,5.240158452374504,4.529368472571809,2.3542079935555127,1.71,9.84,7,8.47
E02006023,1.1655708308427972,0.3088264594540745,0.22731892272469034,96.89181111775254,-0.9713768245004019,52.32852689010132,1.8871519073665104,2.567703520380793,11.204208885424784,9.888932190179268,14.633671083398289,14.760327357755262,11.22369446609509,5.826188620420888,4.120661870539474,4.107589788972121,2.33250996414652,2.06,11.46,6,7.91
E02006024,1.5024705051931029,0.3529293133003933,-0.5192981052923143,97.04547746294242,-0.6848125437698876,52.70827052557532,25.060834605424287,2.5636885427154765,13.506180283388606,10.792885137172144,15.586373228821223,11.75761230027133,9.747764043814692,6.15013566475731,4.572646994282532,4.5217885770490405,2.4275578648874547,2.08,11.61,5,8.0
E02006025,1.3274798787498694,0.7003240305215847,0.15759410160501838,96.11163374098464,-0.3712500276636504,49.7114508453984,13.94180726283334,2.6656182356752707,11.167358509668928,11.946947453680268,15.733522324592489,12.159562620228815,10.742128176571834,7.309911916573858,4.546481189639412,4.5736795188967205,2.3548493108827895,2.07,11.49,5,8.01
