MSOA11CD,asianr,blackr,mixedr,whiter,otherr,femaler,popudensity,Age17_29r,Age30_39r,Age40_49r,Age50_59r,Age60_69r,Age70_79r,Age80r,LowFV,HighSSB,childrenemerg,alcohol,copdprev,obprev,Imdscore,Imdrank,Imddecile,Imdquintile,prevalence
E02000012,58.757602085143354,8.94874022589053,3.127715030408341,25.864465682015634,3.301476976542137,49.85420240137221,89.707013394894,20.703259005145796,13.859348198970842,14.176672384219554,11.097770154373928,7.427101200686106,4.571183533447684,3.0617495711835336,6.466686532,13.7144267,80.8,87.6,1.14,11.77,20.63216642107202,2923.0,5,3,10.37
E02000013,16.778380678795614,20.566017661453344,4.362166187892329,56.30386211299074,1.9895733588679645,52.254922718611056,72.65607584448864,16.39847554520432,15.170442515350413,15.02223163243701,11.687486766885455,7.590514503493543,4.742748253228879,1.8949820029642177,8.821275692,13.6082975,61.9,89.1,1.5,13.24,36.09122608596511,959.0,2,1,8.76
E02000014,15.399432278994324,18.937550689375506,3.1528791565287912,60.289943227899435,2.2201946472019465,51.58495566201202,82.14932879481171,16.022831515645706,15.370502497197025,14.881255733360513,12.506370400570788,7.80756293955764,4.9740087656711856,2.344307410049944,8.863431234,13.0366145,69.2,108.1,1.54,14.82,36.55000135163235,929.0,2,1,8.94
E02000015,13.709285367039378,30.712202236266407,4.8736023334953815,48.10403500243072,2.600875060768109,51.87446574673342,60.26332300459617,16.43668335572109,15.655147148613993,14.214189766760288,12.773232384906583,7.192575406032482,4.078642080840152,1.9294175112956404,10.12090196,14.0671231,63.8,135.4,1.6,15.73,39.60161035457348,735.0,2,1,9.09
E02000016,36.572672218016656,26.64647993943982,5.052990158970476,27.431869795609387,4.295987887963664,50.45509993431547,120.99754116427401,18.626255043633293,21.694660786337618,14.994839072909825,9.46795533452191,4.147508679741016,1.182321478840199,0.2815051140095712,9.323800905,15.0983022,75.4,81.7,0.66,10.72,33.661131007315696,1151.0,2,1,8.38
E02000017,48.412524633238455,11.85679877381213,3.5909787606744037,31.749507335231,4.390190497044012,49.359465673929705,103.8710520270997,19.205080477389686,17.595532683674588,15.515164787036023,11.956640753312165,7.5659695609328805,3.438081681813205,1.7190408409066025,6.659400449,13.8186947,105.5,85.2,0.77,10.99,27.270586768504998,1901.0,3,2,9.78
E02000018,20.18425460636516,20.540201005025125,4.093383584589614,52.12520938023451,3.0569514237855944,51.10781299692568,69.2139692312641,17.004134421711015,15.148945192409627,15.509381956959608,11.385561327255381,7.187533128379095,3.8587935969468883,1.8869924732322696,9.340459098,14.3631024,72.9,95.4,1.58,13.85,36.41188683602772,938.0,2,1,9.12
E02000019,17.803540006210536,22.782320670738017,4.585446641134458,52.13745989028051,2.6912327916364767,51.93106312292359,31.6140494692509,16.39327242524917,15.157807308970101,14.628322259136212,12.614202657807308,6.686046511627906,3.934800664451827,1.401578073089701,8.645393837,13.541612,93.1,89.2,1.73,13.84,32.065294026890015,1337.0,2,1,9.41
E02000020,31.05165789099189,24.519709691191117,4.432901665006404,35.67667567952185,4.319055073288744,50.09866102889359,41.53010648933508,17.138830162085977,18.350951374207188,15.69415081042988,10.824524312896406,5.377026074700493,2.7061310782241015,1.8252290345313602,8.673162233,14.1121096,84.9,95.8,1.05,12.13,33.22273172595296,1205.0,2,1,9.34
E02000021,18.40693826315189,28.335045075887255,4.359237703982655,45.45247061508616,3.446308341892046,51.393925657298276,30.723949913828825,15.695829555757026,14.471894832275611,14.800543970988214,12.058023572076156,7.604261106074342,4.329102447869447,2.28921124206709,7.54823048,13.4366741,65.8,87.3,1.27,13.25,31.823478887744592,1368.0,3,2,8.71
E02000022,25.979061651803026,33.811554866227226,5.312136487010469,30.179656197492566,4.717590797466718,51.166015378797425,105.29997342982149,19.110046640615153,21.921089121391653,14.836757846968359,7.903693432497164,3.5547712088743224,1.159712592966091,0.13866128828942392,11.4902298,15.073141,58.6,95.4,0.75,11.25,38.646125014415865,809.0,2,1,8.65
E02000023,21.416988898590496,37.17101160034926,5.700386678308594,32.45603093426469,3.255581888486965,51.69908889436099,46.70841637406704,18.39448411721251,15.895099729130758,15.771977345481409,10.56390051711401,4.998768776163506,1.7483378478207339,1.3912829352376261,10.20272765,14.832171,70.6,117.3,1.12,12.48,39.06830407275603,779.0,2,1,8.89
E02000024,11.550881077590184,4.843620260171603,5.387950917981364,73.63225389796106,4.585293846295784,52.05239369061895,28.873128690790352,12.415828798081357,12.175998524121391,14.316022507148787,14.417489161516464,11.77935614795683,9.519417027949451,6.475417396919103,5.606716017,10.0219121,90.0,75.9,1.42,7.84,9.191532295006871,5766.0,9,5,6.55
E02000025,11.177156177156178,7.377622377622378,5.9557109557109555,70.26806526806527,5.221445221445221,52.234042553191486,35.222229185822634,12.978723404255318,14.361702127659576,14.988179669030732,14.290780141843973,11.040189125295509,7.659574468085106,4.349881796690307,6.5396744,10.6437491,83.3,105.9,1.5,6.84,15.932634441805227,3892.0,6,3,6.84
E02000026,12.509676420498531,4.149249109769315,5.124632296021056,69.74763895339836,8.468803220312742,51.9607843137255,43.01508195365022,12.160025300442758,12.586970271979759,13.535736875395319,13.64642631246047,12.128399746995571,9.266287160025302,5.487033523086654,5.639506884,10.160105,63.9,76.2,1.04,6.08,10.84753755904312,5274.0,8,4,6.5
E02000027,15.733830845771143,10.31301824212272,6.73714759535655,61.100746268656714,6.115257048092869,51.89753320683111,56.58227095470512,14.157706093189965,12.460468058191019,14.73750790638836,15.02213788741303,9.825005270925574,7.7798861480075905,4.870335230866541,8.364323468,11.5544485,96.6,105.9,1.49,8.38,22.828095124615235,2532.0,4,2,6.99
E02000028,16.906364749082005,6.854345165238677,5.416156670746634,63.831089351285186,6.992044063647492,51.55541660153197,60.74336499277235,13.39690479912459,14.022197905268094,14.30357980303267,15.116460841019228,10.442394872596529,7.784899171486634,4.517742691886822,5.704674944,10.8214954,84.3,72.6,1.41,6.66,12.807654082259054,4735.0,7,4,6.59
E02000029,11.790844269918363,6.427611863180738,7.533326444145913,65.64017774103544,8.608039681719541,50.78877713075701,55.997441337775506,15.076760190577025,12.93806246691371,15.733192165166754,14.388565378507145,8.565378507146638,5.812599258867126,2.74219163578613,6.478425949,11.8316938,118.8,96.8,1.38,6.62,16.010651527016446,3872.0,6,3,6.74
